Date: 2023-03-30, From: sender@example.com, To: recipient@sample.net, Subject: Urgent project update
Date: 2023-08-31, From: sender@email.co, To: recipient@mydomain.info, Subject: Weekly newsletter
Date: 2023-01-13, From: sender@test.org, To: recipient@mydomain.info, Subject: Urgent project update
Date: 2023-04-21, From: sender@sample.net, To: recipient@example.com, Subject: Important: New policy
Date: 2023-05-23, From: sender@test.org, To: recipient@example.com, Subject: Important: New policy
Date: 2023-05-02, From: sender@email.co, To: recipient@example.com, Subject: Lunch plans
Date: 2023-04-28, From: sender@test.org, To: recipient@test.org, Subject: Urgent project update
Date: 2023-01-02, From: sender@test.org, To: recipient@mydomain.info, Subject: Urgent project update
Date: 2023-09-10, From: sender@mydomain.info, To: recipient@example.com, Subject: Important: New policy
Date: 2023-09-19, From: sender@sample.net, To: recipient@email.co, Subject: Lunch plans
Date: 2023-10-29, From: sender@mydomain.info, To: recipient@example.com, Subject: Weekly newsletter
Date: 2023-01-22, From: sender@email.co, To: recipient@test.org, Subject: Urgent project update
Date: 2023-08-27, From: sender@email.co, To: recipient@sample.net, Subject: Weekly newsletter
Date: 2023-02-06, From: sender@email.co, To: recipient@sample.net, Subject: Weekly newsletter
Date: 2023-05-07, From: sender@email.co, To: recipient@example.com, Subject: Important: New policy
Date: 2023-01-25, From: sender@email.co, To: recipient@test.org, Subject: Weekly newsletter
Date: 2023-11-12, From: sender@mydomain.info, To: recipient@mydomain.info, Subject: Urgent project update
Date: 2023-05-19, From: sender@sample.net, To: recipient@example.com, Subject: Lunch plans
Date: 2023-11-29, From: sender@sample.net, To: recipient@sample.net, Subject: Meeting at 3 PM
Date: 2023-08-30, From: sender@mydomain.info, To: recipient@email.co, Subject: Lunch plans
Date: 2023-10-19, From: sender@example.com, To: recipient@mydomain.info, Subject: Weekly newsletter
Date: 2023-07-28, From: sender@mydomain.info, To: recipient@sample.net, Subject: Weekly newsletter
Date: 2023-02-17, From: sender@email.co, To: recipient@mydomain.info, Subject: Important: New policy
Date: 2023-04-21, From: sender@email.co, To: recipient@mydomain.info, Subject: Important: New policy
Date: 2023-11-12, From: sender@example.com, To: recipient@test.org, Subject: Meeting at 3 PM
Date: 2023-05-05, From: sender@test.org, To: recipient@example.com, Subject: Urgent project update
Date: 2023-11-26, From: sender@email.co, To: recipient@email.co, Subject: Urgent project update
Date: 2023-02-02, From: sender@mydomain.info, To: recipient@example.com, Subject: Weekly newsletter
Date: 2023-03-10, From: sender@example.com, To: recipient@example.com, Subject: Urgent project update
Date: 2023-11-09, From: sender@email.co, To: recipient@mydomain.info, Subject: Important: New policy
Date: 2023-09-26, From: sender@sample.net, To: recipient@sample.net, Subject: Important: New policy
Date: 2023-11-26, From: sender@sample.net, To: recipient@mydomain.info, Subject: Weekly newsletter
Date: 2023-08-07, From: sender@mydomain.info, To: recipient@test.org, Subject: Urgent project update
Date: 2023-10-27, From: sender@email.co, To: recipient@test.org, Subject: Urgent project update
Date: 2023-08-04, From: sender@sample.net, To: recipient@test.org, Subject: Lunch plans
Date: 2023-10-03, From: sender@test.org, To: recipient@mydomain.info, Subject: Important: New policy
Date: 2023-09-10, From: sender@email.co, To: recipient@sample.net, Subject: Lunch plans
Date: 2023-02-21, From: sender@mydomain.info, To: recipient@sample.net, Subject: Weekly newsletter
Date: 2023-01-17, From: sender@sample.net, To: recipient@test.org, Subject: Urgent project update
Date: 2023-05-22, From: sender@mydomain.info, To: recipient@mydomain.info, Subject: Lunch plans
Date: 2023-08-29, From: sender@mydomain.info, To: recipient@email.co, Subject: Urgent project update
Date: 2023-11-26, From: sender@sample.net, To: recipient@sample.net, Subject: Lunch plans
Date: 2023-02-24, From: sender@sample.net, To: recipient@sample.net, Subject: Weekly newsletter
Date: 2023-07-15, From: sender@sample.net, To: recipient@test.org, Subject: Important: New policy
Date: 2023-07-20, From: sender@sample.net, To: recipient@test.org, Subject: Meeting at 3 PM
Date: 2023-04-07, From: sender@example.com, To: recipient@email.co, Subject: Weekly newsletter
Date: 2023-04-25, From: sender@email.co, To: recipient@sample.net, Subject: Lunch plans
Date: 2023-10-08, From: sender@email.co, To: recipient@sample.net, Subject: Lunch plans
Date: 2023-02-07, From: sender@mydomain.info, To: recipient@email.co, Subject: Meeting at 3 PM
Date: 2023-05-28, From: sender@example.com, To: recipient@sample.net, Subject: Urgent project update
